State,District,Total_Parcels,Avg_Parcel_Area_Acres,Avg_Soil_Healthy_Percent,Avg_Soil_Unhealthy_Percent
Andhra Pradesh,Alluri Sitharama Raju,365,7.87,76.23,23.77
Andhra Pradesh,Anakapalli,395,7.95,76.51,23.49
Andhra Pradesh,Anantapur,360,7.6,75.34,24.66
Andhra Pradesh,Annamayya,396,8.04,76.8,23.2
Andhra Pradesh,Bapatla,404,7.7,75.66,24.34
Andhra Pradesh,Chittoor,362,7.2,74.0,26.0
Andhra Pradesh,East Godavari,387,7.66,75.53,24.47
Andhra Pradesh,Eluru,390,7.25,74.17,25.83
Andhra Pradesh,Guntur,412,7.82,76.06,23.94
Andhra Pradesh,Kakinada,438,7.78,75.95,24.06
Andhra Pradesh,Konaseema,391,7.82,76.06,23.94
Andhra Pradesh,Krishna,367,7.42,74.75,25.25
Andhra Pradesh,Kurnool,396,7.66,75.52,24.48
Andhra Pradesh,Manyam,381,7.84,76.12,23.88
Andhra Pradesh,NTR,388,7.65,75.49,24.51
Andhra Pradesh,Nandyal,390,7.82,76.07,23.93
Andhra Pradesh,Palnadu,366,7.45,74.82,25.18
Andhra Pradesh,Parvathipuram Manyam,398,7.54,75.14,24.86
Andhra Pradesh,Prakasam,379,7.53,75.09,24.91
Andhra Pradesh,Sri Sathya Sai,359,8.06,76.88,23.12
Andhra Pradesh,Srikakulam,368,7.44,74.8,25.2
Andhra Pradesh,Tirupati,410,7.53,75.08,24.92
Andhra Pradesh,Visakhapatnam,378,7.48,74.95,25.05
Andhra Pradesh,Vizianagaram,390,7.59,75.31,24.69
Andhra Pradesh,West Godavari,364,7.7,75.66,24.34
Andhra Pradesh,YSR Kadapa,366,7.85,76.18,23.82
Andhra Pradesh,ANDHRA PRADESH (STATE TOTAL),10000,7.67,75.55,24.45
